GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
evosuite_binaryHeap,intelement,Overflow,0,3,0,0,0,1,0,1,0,1
evosuite_binaryHeap,intelement,BinaryHeap,262,98,38,14,43,25,25,13,3,9
