GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
evosuite_disjoint,fast,DisjSetsFast,58,231,14,24,10,43,10,16,0,7
evosuite_disjoint,orig,DisjSets,17,231,7,25,3,47,5,18,0,7
